*********************************************************************************
Sensor Log file is generated using GNSS/IMU Logger (Version v1.0.0.0)
Sensor Flag- 1 : Accelerometer [m/s2]  2: Gyroscope [rad/s]  3: Magnetometer [μT]
UNIX Epoch timestamp,sensor Flag,x-axis,y-axis,z-axis
1603504341629,1,0.36131287,1.071991,9.913467 
1603504341629,2,-0.1448822,-0.034622192,0.04473877 
1603504341631,1,0.37806702,1.0528412,9.942184 
1603504341631,2,-0.13635254,-0.028503418,0.04473877 
1603504341634,1,0.38285828,1.0337067,9.956543 
1603504341633,2,-0.12779236,-0.019943237,0.042297363 
1603504341636,1,0.39482117,1.0265198,9.954147 
1603504341636,2,-0.121673584,-0.011398315,0.038635254 
1603504341638,1,0.4139557,1.0121613,9.978073 
1603504341638,2,-0.10823059,-0.0052948,0.034973145 
1603504341637,3,-16.65001,14.56871,67.66853 
1603504341640,1,0.40438843,0.99780273,9.990036 
1603504341640,2,-0.09968567,-0.0016174316,0.031295776 
1603504341643,1,0.4019928,0.98583984,9.978073 
1603504341643,2,-0.08380127,-4.119873E-4,0.023971558 
1603504341645,1,0.38046265,0.9762726,9.9756775 
1603504341646,2,-0.06913757,0.002029419,0.015411377 
1603504341648,1,0.36610413,0.9762726,9.96611 
1603504341648,2,-0.05570984,-4.119873E-4,0.009307861 
1603504341650,1,0.36131287,0.9834442,9.951752 
1603504341650,2,-0.04348755,-4.119873E-4,0.004425049 
1603504341653,1,0.3397827,0.9762726,9.954147 
1603504341652,2,-0.021499634,-0.004058838,7.6293945E-4 
1603504341654,1,0.32063293,0.99302673,9.954147 
1603504341654,2,-0.009277344,-0.00894165,-0.0065612793 
1603504341657,1,0.3134613,0.9906311,9.951752 
1603504341657,2,0.010269165,-0.012619019,-0.010238647 
1603504341660,1,0.32063293,1.0049896,9.939789 
1603504341660,2,0.024917603,-0.019943237,-0.01512146 
1603504341656,3,-16.65001,14.742279,67.837524 
1603504341662,1,0.3134613,1.0432739,9.920639 
1603504341662,2,0.04447937,-0.02482605,-0.01512146 
1603504341664,1,0.31825256,1.0552368,9.896713 
1603504341664,2,0.05911255,-0.030944824,-0.016342163 
1603504341667,1,0.32063293,1.0648041,9.887146 
1603504341666,2,0.07499695,-0.034622192,-0.022445679 
1603504341669,1,0.32781982,1.0791626,9.887146 
1603504341669,2,0.08721924,-0.039505005,-0.026123047 
1603504341671,1,0.3134613,1.1150513,9.851257 
1603504341671,2,0.09820557,-0.044387817,-0.027328491 
1603504341673,1,0.30389404,1.1318054,9.8033905 
1603504341673,2,0.105545044,-0.05293274,-0.03100586 
1603504341675,1,0.2871399,1.1509552,9.745972 
1603504341676,2,0.11042786,-0.06149292,-0.034683228 
1603504341678,1,0.27757263,1.134201,9.688538 
1603504341678,2,0.114089966,-0.067596436,-0.03956604 
1603504341677,3,-16.476822,14.395523,67.66853 
1603504341680,1,0.2679901,1.1030884,9.655045 
1603504341681,2,0.11532593,-0.07369995,-0.03956604 
1603504341683,1,0.22970581,1.1174469,9.607178 
1603504341683,2,0.11288452,-0.079818726,-0.042007446 
1603504341685,1,0.21774292,1.105484,9.568893 
1603504341685,2,0.105545044,-0.08836365,-0.03956604 
1603504341687,1,0.2033844,1.0887299,9.521042 
1603504341687,2,0.094558716,-0.08958435,-0.042007446 
1603504341690,1,0.17228699,1.0600128,9.5354 
1603504341689,2,0.093322754,-0.09446716,-0.038330078 
1603504341692,1,0.1651001,1.0432739,9.509079 
1603504341692,2,0.08477783,-0.09446716,-0.035888672 
1603504341694,1,0.16989136,1.031311,9.51387 
1603504341695,2,0.07255554,-0.09202576,-0.033447266 
1603504341697,1,0.1651001,1.0337067,9.518646 
1603504341697,2,0.061553955,-0.09202576,-0.03100586 
1603504341699,1,0.18185425,1.0408783,9.504288 
1603504341699,2,0.049362183,-0.09446716,-0.03100586 
1603504341696,3,-16.65001,14.395523,68.006134 
1603504341701,1,0.19381714,1.0600128,9.480362 
1603504341702,2,0.040802002,-0.08958435,-0.028564453 
1603504341704,1,0.22013855,1.0552368,9.47319 
1603504341704,2,0.02859497,-0.08958435,-0.024887085 
1603504341706,1,0.2368927,1.0648041,9.480362 
1603504341706,2,0.015151978,-0.09080505,-0.024887085 
1603504341708,1,0.26081848,1.076767,9.521042 
1603504341708,2,0.009033203,-0.08836365,-0.024887085 
1603504341711,1,0.2536316,1.071991,9.537796 
1603504341710,2,-0.001953125,-0.08470154,-0.022445679 
1603504341714,1,0.279953,1.0887299,9.566513 
1603504341713,2,-0.012939453,-0.08592224,-0.022445679 
1603504341715,1,0.2679901,1.0911255,9.611969 
1603504341715,2,-0.02027893,-0.08470154,-0.017562866 
1603504341718,1,0.279953,1.0983124,9.650253 
1603504341718,2,-0.03126526,-0.08470154,-0.017562866 
1603504341720,1,0.26560974,1.1030884,9.698105 
1603504341720,2,-0.03126526,-0.08103943,-0.01512146 
1603504341717,3,-16.129684,14.742279,68.175125 
1603504341723,1,0.28474426,1.0983124,9.743576 
1603504341722,2,-0.033706665,-0.074920654,-0.016342163 
1603504341725,1,0.28474426,1.105484,9.796219 
1603504341725,2,-0.042266846,-0.071258545,-0.016342163 
1603504341727,1,0.29910278,1.1030884,9.856033 
1603504341727,2,-0.038604736,-0.06881714,-0.013900757 
1603504341729,1,0.29193115,1.1198425,9.887146 
1603504341729,2,-0.034942627,-0.06637573,-0.011459351 
1603504341732,1,0.30389404,1.076767,9.915863 
1603504341732,2,-0.038604736,-0.063934326,-0.011459351 
1603504341734,1,0.2871399,1.0648041,9.92543 
1603504341734,2,-0.030044556,-0.05783081,-0.010238647 
1603504341737,1,0.28474426,1.0648041,9.944565 
1603504341736,2,-0.026382446,-0.055389404,-0.010238647 
1603504341738,1,0.29431152,1.0600128,9.949356 
1603504341739,2,-0.022720337,-0.05293274,-0.0065612793 
1603504341736,3,-15.782547,14.915466,67.837524 
1603504341741,1,0.29910278,1.0552368,9.951752 
1603504341741,2,-0.019058228,-0.046829224,-0.004119873 
1603504341743,1,0.32781982,1.0480499,9.934998 
1603504341744,2,-0.011734009,-0.038269043,-0.004119873 
1603504341746,1,0.33499146,1.0600128,9.915863 
1603504341746,2,-0.0056152344,-0.0370636,-0.0029144287 
1603504341748,1,0.3397827,1.0648041,9.9015045 
1603504341748,2,-7.324219E-4,-0.035827637,-0.0029144287 
1603504341751,1,0.36131287,1.071991,9.887146 
1603504341750,2,-7.324219E-4,-0.03338623,-0.004119873 
1603504341752,1,0.35891724,1.076767,9.882355 
1603504341753,2,0.006591797,-0.030944824,-0.0029144287 
1603504341756,1,0.35414124,1.1174469,9.856033 
1603504341755,2,0.015151978,-0.028503418,-0.0029144287 
1603504341757,1,0.3517456,1.1246338,9.836899 
1603504341757,2,0.015151978,-0.028503418,-0.005355835 
1603504341760,1,0.34695435,1.134201,9.824936 
1603504341759,2,0.021270752,-0.028503418,-0.005355835 
1603504341757,3,-15.955734,14.568329,67.49992 
1603504341762,1,0.34934998,1.1557312,9.817749 
1603504341762,2,0.024917603,-0.032165527,-0.005355835 
1603504341764,1,0.3397827,1.146164,9.805786 
